relation	probability	sentence	left_entity	left_entity_tag	left_entity_span	right_entity	right_entity_tag	right_entity_span
TeRP	0.9989	Exam remarkable for b / l carotid bruits , soft murmur at L sternal border , clear chest , 1+ b / l edema .	exam	[TEST]	0_4	1+ b / l edema	[PROBLEM]	91_105
TeRP	0.9978	He was noted to be large for gestational age with a weight of 4525 grams .	a weight	[TEST]	50_58	large for gestational age	[PROBLEM]	19_44
TrAP	0.9993	The patient will continue on his antibiotics for pseudomonas pneumonia to complete the fourteen day course which was completed on 09/06/92 .	his antibiotics	[TREATMENT]	29_44	pseudomonas pneumonia	[PROBLEM]	49_70
TrAP	0.9992	She was also started on fluconazole for yeast in the urine , to be treated with fluconazole for total 7 days .	fluconazole	[TREATMENT]	80_91	yeast in the urine	[PROBLEM]	40_58
TrCP	0.9854	Since chemo pt has intermittent nausea adequately controlled by zofran and compazine .	chemo	[TREATMENT]	6_11	intermittent nausea	[PROBLEM]	19_38
TeCP	0.9907	It was decided that he would have very close monitoring of his anticoagulation status in the future to prevent further problems .	monitoring	[TEST]	45_55	further problems	[PROBLEM]	111_127
TeCP	0.9806	All sedating medications were held and serial ABGs were trended to follow the resolution of the metabolic alkalosis .	serial abgs	[TEST]	39_50	the metabolic alkalosis	[PROBLEM]	92_115
PIP	0.9996	1. CAD , s/p MI in 2011 with stenting of LAD	mi	[PROBLEM]	13_15	cad	[PROBLEM]	3_6
TeRP	0.9987	Bilateral crackles at bases and midlungs , elevated JVP , trace bilateral ankle edema , and CXR with diffuse opacities suggest possible pulmonary edema , likely secondary to acute MI .	cxr	[TEST]	92_95	diffuse opacities	[PROBLEM]	101_118
PIP	0.9997	Moderate to severe enlargement of the cardiac silhouette , and particularly the left atrium accompanied by pulmonary vascular congestion and mild pulmonary edema consistent with heart failure .	heart failure	[PROBLEM]	178_191	pulmonary vascular congestion	[PROBLEM]	107_136
TrNAP	0.9578	She was rescoped on 10-28 and varices were sclerosed ( no banding due to latex allergy ) and diuretics of lasix and aldactone were readded for ascites since BP stable .	banding	[TREATMENT]	58_65	latex allergy	[PROBLEM]	73_86
TrAP	0.9990	Percocet as needed for pain .	percocet	[TREATMENT]	0_8	pain	[PROBLEM]	23_27
